MESS_DATUM,T_aussen_C,Heizlast_kW
2019050216,14.4,106.31958000000002
2019050217,10.7,0.0
2019050218,10.9,408.8893175
2019050219,10.7,397.58930250000003
2019050220,10.2,536.0592650000001
2019050221,10.6,514.179295
2019050222,10.4,525.11928
2019050223,8.1,650.9291075
2019050300,8.0,656.3991
2019050301,8.0,656.3991
2019050302,7.9,661.8690925000001
2019050303,8.0,656.3991
2019050304,7.9,661.8690925000001
2019050305,7.6,678.27907
2019050306,7.5,461.5090625
2019050307,7.6,33.799070000000064
2019050308,9.1,0.0
2019050309,9.5,0.0
2019050310,10.2,0.0
2019050311,10.7,0.0
2019050312,11.5,0.0
2019050313,12.5,0.0
2019050314,12.4,0.0
2019050315,12.1,0.0
2019050316,10.5,0.0
2019050317,8.8,0.0
2019050318,8.9,29.40916749999998
2019050319,8.6,512.459145
2019050320,8.2,645.459115
2019050321,8.1,650.9291075
2019050322,7.6,678.27907
2019050323,7.6,678.27907
2019050400,7.1,705.6290325
2019050401,5.4,798.618905
2019050402,4.4,853.3188299999999
2019050403,3.4,908.0187550000002
2019050404,2.5,957.2486875
2019050405,1.9,990.0686425000001
2019050406,2.8,829.71871
2019050407,3.2,363.43874
2019050408,3.7,0.0
2019050409,4.3,0.0
2019050410,7.1,0.0
2019050411,7.7,0.0
2019050412,7.2,0.0
2019050413,5.5,0.0
2019050414,9.1,0.0
2019050415,8.3,0.0
2019050416,9.8,0.0
2019050417,7.4,0.0
2019050418,4.5,0.0
2019050419,4.3,547.6688225
2019050420,3.3,913.4887475
2019050421,3.0,929.898725
2019050422,2.6,951.7786949999999
2019050423,2.1,979.1286574999998
2019050500,1.5,1011.9486125000001
2019050501,0.3,1077.5885225
2019050502,-0.5,1121.3484624999999
2019050503,-0.2,1104.938485
2019050504,-0.6,1126.818455
2019050505,0.2,1038.5785150000002
2019050506,1.1,544.9485824999999
2019050507,3.5,0.0
2019050508,4.4,53.318829999999956
2019050509,5.8,0.0
2019050510,8.2,0.0
2019050511,8.9,0.0
2019050512,9.9,0.0
2019050513,10.1,0.0
